collect.....= UnicornPy_2020.05.30.0
device......= UN-2021.05.36
samplerate..= 250.000
channels....= 16
date........= 2022-07-25T14:07:23.241906
filename....= recordeddata_thread
FZ, C3, CZ, C4, PZ, O1, OZ, O2, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, Battery, Sample
-111.401,-114.620,-105.232,-108.540,-111.401,-99.599,-105.411,-104.696,-0.011,0.895,-0.426,-0.610,0.275,0.519,73.333,184.000
-111.401,-114.530,-105.411,-108.182,-111.222,-99.778,-105.590,-104.785,-0.013,0.893,-0.426,-0.732,0.366,0.641,73.333,185.000
-111.580,-114.530,-105.500,-108.182,-111.222,-99.778,-105.411,-104.517,-0.012,0.893,-0.427,-0.732,0.427,0.610,73.333,186.000
-111.491,-114.620,-105.679,-108.361,-111.401,-99.599,-105.411,-104.606,-0.010,0.890,-0.426,-0.702,0.488,0.549,73.333,187.000
-111.312,-114.620,-105.679,-108.361,-111.312,-99.510,-105.143,-104.696,-0.012,0.893,-0.425,-0.702,0.549,0.641,73.333,188.000
-111.312,-114.620,-105.679,-108.361,-111.491,-99.421,-105.411,-104.427,-0.014,0.894,-0.428,-0.610,0.519,0.519,73.333,189.000
-111.491,-114.709,-105.679,-108.272,-111.312,-99.599,-105.590,-104.517,-0.011,0.892,-0.426,-0.793,0.519,0.610,73.333,190.000
-111.312,-114.709,-105.411,-108.272,-111.222,-99.599,-105.411,-104.427,-0.009,0.892,-0.423,-0.793,0.549,0.580,73.333,191.000
-111.491,-114.620,-105.232,-108.451,-111.312,-99.421,-105.411,-104.427,-0.011,0.894,-0.424,-0.702,0.458,0.488,73.333,192.000
-111.580,-114.530,-105.232,-108.540,-111.222,-99.510,-105.411,-104.427,-0.011,0.895,-0.424,-0.763,0.458,0.488,73.333,193.000
-111.491,-114.620,-105.321,-108.361,-111.222,-99.421,-105.321,-104.249,-0.011,0.895,-0.427,-0.732,0.488,0.488,73.333,194.000
-111.669,-114.620,-105.232,-108.272,-111.043,-99.689,-105.321,-104.517,-0.012,0.893,-0.426,-0.671,0.458,0.458,73.333,195.000
-111.580,-114.530,-105.143,-108.361,-111.133,-99.868,-105.232,-104.517,-0.012,0.893,-0.426,-0.702,0.427,0.488,73.333,196.000
-111.312,-114.530,-105.232,-108.361,-111.222,-99.599,-105.232,-104.427,-0.011,0.892,-0.427,-0.732,0.427,0.580,73.333,197.000
-111.222,-114.709,-105.232,-108.451,-111.222,-99.689,-105.143,-104.517,-0.010,0.891,-0.427,-0.793,0.458,0.549,73.333,198.000
-111.222,-114.530,-105.232,-108.361,-111.222,-99.599,-104.964,-104.338,-0.011,0.893,-0.426,-0.610,0.366,0.458,73.333,199.000
-111.401,-114.530,-105.232,-108.093,-111.491,-99.421,-104.964,-104.517,-0.012,0.895,-0.424,-0.610,0.336,0.488,73.333,200.000
-111.401,-114.530,-105.143,-107.914,-111.401,-99.599,-105.143,-104.696,-0.013,0.892,-0.425,-0.610,0.275,0.549,73.333,201.000
-111.491,-114.530,-105.232,-107.914,-111.401,-99.510,-104.964,-104.517,-0.010,0.895,-0.426,-0.732,0.336,0.610,73.333,202.000
-111.312,-114.620,-105.143,-107.914,-111.222,-99.510,-105.053,-104.517,-0.010,0.894,-0.427,-0.763,0.397,0.519,73.333,203.000
-111.222,-114.977,-105.053,-108.093,-111.401,-99.331,-104.964,-104.338,-0.010,0.894,-0.427,-0.763,0.458,0.519,73.333,204.000
-111.401,-114.799,-104.964,-108.272,-111.401,-99.510,-105.143,-104.606,-0.012,0.892,-0.425,-0.702,0.488,0.549,73.333,205.000
-111.580,-114.977,-105.053,-108.272,-111.222,-99.689,-105.232,-104.606,-0.009,0.892,-0.424,-0.641,0.397,0.458,73.333,206.000
-111.491,-114.799,-105.232,-108.182,-111.401,-99.510,-105.053,-104.606,-0.010,0.895,-0.427,-0.671,0.366,0.427,73.333,207.000
-111.491,-114.530,-105.232,-107.914,-111.222,-99.331,-104.785,-104.606,-0.010,0.893,-0.425,-0.732,0.397,0.488,73.333,208.000
-111.401,-114.620,-105.143,-108.093,-111.043,-99.421,-104.785,-104.338,-0.011,0.893,-0.426,-0.732,0.580,0.397,73.333,209.000
-111.401,-114.709,-105.053,-107.914,-111.043,-99.421,-104.874,-104.338,-0.013,0.892,-0.428,-0.671,0.549,0.427,73.333,210.000
-111.491,-114.799,-104.964,-107.914,-111.222,-99.331,-104.785,-104.517,-0.013,0.896,-0.423,-0.702,0.488,0.519,73.333,211.000
